Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1683417600000,2023-05-07,ETHUSDT,1896.33,1933.33,1867.59,1870.4,413268.8357,787566158.198456,625667
1683504000000,2023-05-08,ETHUSDT,1870.41,1883.97,1810.73,1847.56,625316.6168,1157603209.7618542,885693
1683590400000,2023-05-09,ETHUSDT,1847.55,1861.88,1830.99,1846.52,304396.186,561440259.790895,517737
1683676800000,2023-05-10,ETHUSDT,1846.53,1887.47,1790.51,1840.84,639933.3855,1182254717.032215,802140
1683763200000,2023-05-11,ETHUSDT,1840.83,1842.02,1772.68,1794.3,522096.0725,944525427.027942,679625
1683849600000,2023-05-12,ETHUSDT,1794.31,1818.63,1740.0,1807.45,565539.8309,1002104362.594411,696930
1683936000000,2023-05-13,ETHUSDT,1807.45,1817.03,1785.23,1795.11,212895.4373,383397322.74478096,342566
1684022400000,2023-05-14,ETHUSDT,1795.12,1824.0,1789.82,1799.21,218101.0977,393557662.80186,348092
1684108800000,2023-05-15,ETHUSDT,1799.2,1846.7,1785.05,1816.2,388171.9261,708011632.174709,503728
1684195200000,2023-05-16,ETHUSDT,1816.21,1832.64,1796.2,1824.21,311238.6786,565367254.106777,466058
1684281600000,2023-05-17,ETHUSDT,1824.21,1837.5,1783.68,1822.12,352097.9913,637776970.833855,524718
1684368000000,2023-05-18,ETHUSDT,1822.12,1831.92,1771.12,1800.56,293755.311,531357170.827152,480171
1684454400000,2023-05-19,ETHUSDT,1800.56,1829.54,1796.81,1812.32,243116.4676,440291732.350879,390917
1684540800000,2023-05-20,ETHUSDT,1812.31,1828.87,1807.06,1819.42,127754.4349,232010582.306628,272744
1684627200000,2023-05-21,ETHUSDT,1819.42,1828.98,1797.21,1804.91,161517.8053,292535613.878124,308391
1684713600000,2023-05-22,ETHUSDT,1804.91,1828.27,1792.01,1817.35,237498.9423,430673377.916653,411867
1684800000000,2023-05-23,ETHUSDT,1817.36,1872.5,1815.24,1854.05,396869.6097,734581474.7224659,548587
1684886400000,2023-05-24,ETHUSDT,1854.06,1854.09,1777.6,1799.89,420846.1445,761360360.597887,554307
1684972800000,2023-05-25,ETHUSDT,1799.89,1818.81,1761.41,1805.6,350633.0089,628769352.442571,482899
1685059200000,2023-05-26,ETHUSDT,1805.61,1838.2,1796.99,1827.79,275690.6854,501773973.87993693,375854
1685145600000,2023-05-27,ETHUSDT,1827.8,1836.12,1812.18,1829.89,138824.9406,253710138.250563,276383
1685232000000,2023-05-28,ETHUSDT,1829.89,1918.65,1823.6,1908.64,378392.4371,705699886.229488,549727
1685318400000,2023-05-29,ETHUSDT,1908.64,1927.62,1873.65,1892.6,313593.4942,596236148.9098849,445895
1685404800000,2023-05-30,ETHUSDT,1892.6,1917.0,1881.19,1900.59,272665.8402,519059196.247416,422249
1685491200000,2023-05-31,ETHUSDT,1900.58,1907.13,1846.95,1873.63,319255.5681,597360395.544034,451133
1685577600000,2023-06-01,ETHUSDT,1873.63,1889.2,1840.0,1861.78,270496.6097,504448237.27338,422899
1685664000000,2023-06-02,ETHUSDT,1861.78,1910.0,1847.51,1906.68,313004.0658,591169483.099447,456788
1685750400000,2023-06-03,ETHUSDT,1906.69,1907.92,1881.6,1892.06,148818.2427,282550389.946688,292512
1685836800000,2023-06-04,ETHUSDT,1892.05,1914.63,1884.22,1890.01,172683.0119,328166899.062354,289973
1685923200000,2023-06-05,ETHUSDT,1890.0,1890.63,1778.0,1810.5,555361.2683,1017689609.362256,688879
1686009600000,2023-06-06,ETHUSDT,1810.49,1898.29,1797.18,1884.64,491407.2174,907660359.425966,616201
1686096000000,2023-06-07,ETHUSDT,1884.65,1897.8,1821.18,1832.13,429196.7064,796856688.8667129,594071
1686182400000,2023-06-08,ETHUSDT,1832.12,1861.28,1828.31,1845.64,189270.4853,349160385.10498,347990
1686268800000,2023-06-09,ETHUSDT,1845.65,1855.0,1827.0,1840.37,198324.3252,365037779.742887,354623
1686355200000,2023-06-10,ETHUSDT,1840.37,1844.99,1715.03,1751.53,652324.6695,1148312156.525596,877410
1686441600000,2023-06-11,ETHUSDT,1751.52,1778.25,1738.72,1752.76,219956.2434,385656545.950238,378921
1686528000000,2023-06-12,ETHUSDT,1752.77,1759.33,1720.0,1742.57,302132.4819,525467514.61960894,467392
1686614400000,2023-06-13,ETHUSDT,1742.57,1770.13,1724.22,1740.12,284268.0018,495907901.668493,498880
1686700800000,2023-06-14,ETHUSDT,1740.12,1750.03,1630.43,1650.95,415847.327,705586390.233981,572996
1686787200000,2023-06-15,ETHUSDT,1650.95,1680.91,1626.01,1666.96,370774.7696,611499814.542176,458568
1686873600000,2023-06-16,ETHUSDT,1666.96,1729.5,1649.86,1717.92,311734.5904,525393264.96220094,408176
1686960000000,2023-06-17,ETHUSDT,1717.91,1770.0,1714.26,1727.76,210914.9216,366944179.320637,359758
1687046400000,2023-06-18,ETHUSDT,1727.75,1747.84,1712.0,1720.95,156535.0128,270948973.417484,273858
1687132800000,2023-06-19,ETHUSDT,1720.95,1752.19,1698.0,1737.11,245162.7589,422827205.775489,366143
1687219200000,2023-06-20,ETHUSDT,1737.1,1796.99,1714.72,1791.99,328855.6846,577529266.789217,459724
1687305600000,2023-06-21,ETHUSDT,1791.99,1901.0,1787.38,1889.11,613755.8869,1132377905.488902,699689
1687392000000,2023-06-22,ETHUSDT,1889.1,1933.17,1865.98,1872.01,416714.5719,791056016.146176,536410
1687478400000,2023-06-23,ETHUSDT,1872.0,1936.42,1861.01,1892.63,401147.9324,760352485.336681,531784
1687564800000,2023-06-24,ETHUSDT,1892.63,1906.0,1864.77,1874.96,226910.2941,427721477.76198,356654
1687651200000,2023-06-25,ETHUSDT,1874.95,1930.0,1868.83,1898.8,338757.6158,644415530.040616,482753
1687737600000,2023-06-26,ETHUSDT,1898.8,1909.1,1837.18,1858.97,458743.861,859537162.3556141,518009
1687824000000,2023-06-27,ETHUSDT,1858.97,1912.53,1855.19,1889.58,366634.5707,690855987.041332,437184
1687910400000,2023-06-28,ETHUSDT,1889.58,1890.19,1816.56,1828.02,337836.5792,626358502.58848,437585
1687996800000,2023-06-29,ETHUSDT,1828.03,1880.0,1827.84,1851.99,241844.8281,448678322.176822,350823
1688083200000,2023-06-30,ETHUSDT,1851.99,1948.6,1825.01,1933.79,716538.1035,1353630452.615445,824889
1688169600000,2023-07-01,ETHUSDT,1933.8,1944.56,1909.44,1924.5,178373.3688,343093755.612736,307019
1688256000000,2023-07-02,ETHUSDT,1924.5,1959.2,1885.75,1937.48,255852.7832,491981842.96013904,381133
1688342400000,2023-07-03,ETHUSDT,1937.49,1976.16,1933.55,1955.54,322102.4295,631158998.811416,404084
1688428800000,2023-07-04,ETHUSDT,1955.55,1967.08,1931.58,1936.2,205525.0984,401186997.249838,307691
1688515200000,2023-07-05,ETHUSDT,1936.19,1942.5,1894.51,1910.36,267633.4783,512774138.21894896,362985
1688601600000,2023-07-06,ETHUSDT,1910.35,1958.0,1846.0,1846.17,456362.741,868009586.22327,519031
1688688000000,2023-07-07,ETHUSDT,1846.17,1878.0,1826.0,1870.91,232944.3466,432733381.05496705,355260
1688774400000,2023-07-08,ETHUSDT,1870.92,1876.0,1842.8,1865.24,125819.8273,234001180.804625,228589
1688860800000,2023-07-09,ETHUSDT,1865.24,1879.36,1856.15,1862.8,135046.3743,252189550.05161,234925
1688947200000,2023-07-10,ETHUSDT,1862.81,1905.5,1846.63,1880.4,247868.1494,464186441.163382,338462
1689033600000,2023-07-11,ETHUSDT,1880.41,1891.99,1862.38,1878.3,177771.6117,333339876.932696,256360
1689120000000,2023-07-12,ETHUSDT,1878.31,1902.0,1864.37,1871.82,264406.8673,498567734.55913293,338468
1689206400000,2023-07-13,ETHUSDT,1871.82,2012.63,1862.59,2004.49,548861.4207,1069502144.026194,618276
1689292800000,2023-07-14,ETHUSDT,2004.49,2029.11,1898.39,1937.83,498724.0359,982369872.0199,604687
1689379200000,2023-07-15,ETHUSDT,1937.82,1946.37,1926.23,1931.41,135181.7663,261553961.167515,242818
1689465600000,2023-07-16,ETHUSDT,1931.41,1943.55,1914.0,1922.11,148667.1051,286787440.456901,253770
1689552000000,2023-07-17,ETHUSDT,1922.12,1936.18,1873.26,1911.2,277159.0349,528662412.297658,391391
1689638400000,2023-07-18,ETHUSDT,1911.21,1917.19,1875.73,1897.21,215780.5006,409583830.87633294,315100
1689724800000,2023-07-19,ETHUSDT,1897.21,1922.04,1882.17,1888.63,218045.0005,415268112.54340094,266831
1689811200000,2023-07-20,ETHUSDT,1888.64,1929.05,1878.0,1891.59,292907.5164,556981450.4553009,353180
1689897600000,2023-07-21,ETHUSDT,1891.59,1905.74,1884.64,1891.73,165554.0428,313414135.895111,260385
